ownership_group,owner_name,normalized_owner_name,total_acres,parcel_count,counties,owner_addresses,match_reason,confidence,include_in_defensible_total,materiality_flag,recommended_manual_check
CROSSHARBOR / LONE MOUNTAIN,PL4 LLC,PL4 LLC,8.733,2,Gallatin,PO BOX 161097 BIG SKY MT 59716-1097,exact normalized group mailing location: PO BOX 161097 BIG SKY MT 59716,address_candidate,False,,Shared tax address is not ownership proof; inspect entity managers and deed chain.
CROSSHARBOR / LONE MOUNTAIN,HF POWDERLIGHT SOUTH LLC,HF POWDERLIGHT SOUTH LLC,6.284000000000001,2,Gallatin,PO BOX 160040 BIG SKY MT 59716-0040,exact normalized group mailing location: PO BOX 160040 BIG SKY MT 59716,address_candidate,False,,Shared tax address is not ownership proof; inspect entity managers and deed chain.
CROSSHARBOR / LONE MOUNTAIN,HF BOZEMAN STREET LLC,HF BOZEMAN STREET LLC,3.98,1,Gallatin,PO BOX 160040 BIG SKY MT 59716-0040,exact normalized group mailing location: PO BOX 160040 BIG SKY MT 59716,address_candidate,False,,Shared tax address is not ownership proof; inspect entity managers and deed chain.
CROSSHARBOR / LONE MOUNTAIN,RESEARCH DRIVE LLC,RESEARCH DRIVE LLC,3.19,1,Gallatin,1111 RESEARCH DR BOZEMAN MT 59718-7476,exact normalized group mailing location: 1111 RESEARCH DR BOZEMAN MT 59718,address_candidate,False,,Shared tax address is not ownership proof; inspect entity managers and deed chain.
CROSSHARBOR / LONE MOUNTAIN,TC MF1 LLC,TC MF1 LLC,3.085,2,Gallatin,PO BOX 160040 BIG SKY MT 59716-0040,exact normalized group mailing location: PO BOX 160040 BIG SKY MT 59716,address_candidate,False,,Shared tax address is not ownership proof; inspect entity managers and deed chain.
CROSSHARBOR / LONE MOUNTAIN,PL2 LLC,PL2 LLC,2.914,1,Gallatin,PO BOX 160040 BIG SKY MT 59716-0040,exact normalized group mailing location: PO BOX 160040 BIG SKY MT 59716,address_candidate,False,,Shared tax address is not ownership proof; inspect entity managers and deed chain.
CROSSHARBOR / LONE MOUNTAIN,214 LAURA LOUISE LANE LLC,214 LAURA LOUISE LANE LLC,2.0,1,Gallatin,PO BOX 160040 BIG SKY MT 59716-0040,exact normalized group mailing location: PO BOX 160040 BIG SKY MT 59716,address_candidate,False,,Shared tax address is not ownership proof; inspect entity managers and deed chain.
CROSSHARBOR / LONE MOUNTAIN,TC HOTEL 1 LLC,TC HOTEL 1 LLC,1.55,1,Gallatin,PO BOX 160040 BIG SKY MT 59716-0040,exact normalized group mailing location: PO BOX 160040 BIG SKY MT 59716,address_candidate,False,,Shared tax address is not ownership proof; inspect entity managers and deed chain.
CROSSHARBOR / LONE MOUNTAIN,YC 701 LLC,YC 701 LLC,1.02,1,Madison,1 BOSTON PL STE 2310 BOSTON MA 02108-4407,exact normalized group mailing location: 1 BOSTON PL BOSTON MA 02108,address_candidate,False,,Shared tax address is not ownership proof; inspect entity managers and deed chain.
CROSSHARBOR / LONE MOUNTAIN,TC HOTEL 2 LLC,TC HOTEL 2 LLC,1.002,1,Gallatin,1 BOSTON PL STE 2310 BOSTON MA 02108-4407,exact normalized group mailing location: 1 BOSTON PL BOSTON MA 02108,address_candidate,False,,Shared tax address is not ownership proof; inspect entity managers and deed chain.
CROSSHARBOR / LONE MOUNTAIN,PARK 292 LLC,PARK 292 LLC,0.88,2,Gallatin,1111 RESEARCH DR BOZEMAN MT 59718-7476 | C/O CROSSHARBOR CAPITAL PARTNERS LLC 1 BOSTON PL STE 2310 BOSTON MA 02108-4407,exact normalized group mailing location: 1 BOSTON PL BOSTON MA 02108 | exact normalized group mailing location: 1111 RESEARCH DR BOZEMAN MT 59718,address_candidate,False,,Shared tax address is not ownership proof; inspect entity managers and deed chain.
CROSSHARBOR / LONE MOUNTAIN,GV 1A LLC,GV 1A LLC,0.8280000000000001,6,Gallatin,MAIL TO CROSSHARBOR CAPITAL PARTNERS 1 BOSTON PL STE 2310 BOSTON MA 02108-4407,exact normalized group mailing location: 1 BOSTON PL BOSTON MA 02108,address_candidate,False,,Shared tax address is not ownership proof; inspect entity managers and deed chain.
CROSSHARBOR / LONE MOUNTAIN,HF SPRUCE CONE LLC,HF SPRUCE CONE LLC,0.619,1,Gallatin,C/O CROSSHARBOR CAPITAL 1 BOSTON PL STE 2310 BOSTON MA 02108-4407,exact normalized group mailing location: 1 BOSTON PL BOSTON MA 02108,address_candidate,False,,Shared tax address is not ownership proof; inspect entity managers and deed chain.
CROSSHARBOR / LONE MOUNTAIN,TC BUILDING 4 LLC,TC BUILDING 4 LLC,0.369,1,Gallatin,PO BOX 160040 BIG SKY MT 59716-0040,exact normalized group mailing location: PO BOX 160040 BIG SKY MT 59716,address_candidate,False,,Shared tax address is not ownership proof; inspect entity managers and deed chain.
CROSSHARBOR / LONE MOUNTAIN,TC BUILDING 1 LLC,TC BUILDING 1 LLC,0.312,1,Gallatin,1 BOSTON PL STE 2310 BOSTON MA 02108-4424,exact normalized group mailing location: 1 BOSTON PL BOSTON MA 02108,address_candidate,False,,Shared tax address is not ownership proof; inspect entity managers and deed chain.
CROSSHARBOR / LONE MOUNTAIN,SP 382 OUTLOOK TRAIL LLC,SP 382 OUTLOOK TRAIL LLC,0.27,1,Gallatin,1111 RESEARCH DR STE B BOZEMAN MT 59718-7476,exact normalized group mailing location: 1111 RESEARCH DR BOZEMAN MT 59718,address_candidate,False,,Shared tax address is not ownership proof; inspect entity managers and deed chain.
CROSSHARBOR / LONE MOUNTAIN,TCL 123 LLC,TCL 123 LLC,0.256,1,Gallatin,MAIL TO: LONE MOUNTAIN LAND COMPANY ATTN: STEVE HURST PO BOX 160040 BIG SKY MT 59716,exact normalized group mailing location: PO BOX 160040 BIG SKY MT 59716,address_candidate,False,,Shared tax address is not ownership proof; inspect entity managers and deed chain.
CROSSHARBOR / LONE MOUNTAIN,TC BUILDINGS 5 LLC,TC BUILDINGS 5 LLC,0.204,1,Gallatin,PO BOX 160040 BIG SKY MT 59716-0040,exact normalized group mailing location: PO BOX 160040 BIG SKY MT 59716,address_candidate,False,,Shared tax address is not ownership proof; inspect entity managers and deed chain.
ROCK CREEK CATTLE COMPANY / FOLEY,CROSSROADS WINERY LP,CROSSROADS WINERY LP,3244.696,8,Powell,1701 VILLAGE CENTER CIR LAS VEGAS NV 89134-6368,exact entity seed plus project/geography/address corroboration; beneficial-control review remains,strong_candidate,True,,Confirm current beneficial control in entity/deed records before production grouping.
ROCK CREEK CATTLE COMPANY / FOLEY,BIGHORN CATTLE RANCH LLC,BIGHORN CATTLE RANCH LLC,1147.864,10,Powell,1701 VILLAGE CENTER CIR LAS VEGAS NV 89134-6368,exact entity seed plus project/geography/address corroboration; beneficial-control review remains,strong_candidate,True,,Confirm current beneficial control in entity/deed records before production grouping.
ROCK CREEK CATTLE COMPANY / FOLEY,BOGNOR REGIS INC DEFINED BENEFIT PLAN,BOGNOR REGIS INC DEFINED BENEFIT PLAN,440.0,2,Flathead,601 RIVERSIDE AVE JACKSONVILLE FL 32204-2901,exact normalized group mailing location: 601 RIVERSIDE AVE JACKSONVILLE FL 32204,address_candidate,False,,Shared tax address is not ownership proof; inspect entity managers and deed chain.
ROCK CREEK CATTLE COMPANY / FOLEY,LRCW TRUST,LRCW TRUST,130.615,3,Flathead,1701 VILLAGE CENTER CIR LAS VEGAS NV 89134-6368,exact normalized group mailing location: 1701 VILLAGE CENTER CIR LAS VEGAS NV 89134,address_candidate,False,,Shared tax address is not ownership proof; inspect entity managers and deed chain.
ROCK CREEK CATTLE COMPANY / FOLEY,DUCOMMUN DAVID,DUCOMMUN DAVID,0.391,1,Flathead,1701 VILLAGE CENTER CIR LAS VEGAS NV 89134-6368,exact normalized group mailing location: 1701 VILLAGE CENTER CIR LAS VEGAS NV 89134,address_candidate,False,,Shared tax address is not ownership proof; inspect entity managers and deed chain.
ROCK CREEK CATTLE COMPANY / FOLEY,DEER LODGE RESIDENCES LLC,DEER LODGE RESIDENCES LLC,0.296,2,Powell,C/O FIDELITY NATIONAL FINANCIAL 1701 VILLAGE CENTER CIR FL 2 LAS VEGAS NV 89134-6303,exact normalized group mailing location: 1701 VILLAGE CENTER CIR LAS VEGAS NV 89134,address_candidate,False,,Shared tax address is not ownership proof; inspect entity managers and deed chain.
ROCK CREEK CATTLE COMPANY / FOLEY,REINHARDT JOE A III,REINHARDT JOE A III,0.21,1,Powell,601 RIVERSIDE AVE JACKSONVILLE FL 32204-2901,legal/subdivision context contains ROCK CREEK CATTLE COMPANY; owner field is not a confirmed developer entity; exact normalized group mailing location: 601 RIVERSIDE AVE JACKSONVILLE FL 32204,address_candidate,False,,Shared tax address is not ownership proof; inspect entity managers and deed chain.
ROCK CREEK CATTLE COMPANY / FOLEY,C & L HOLDINGS LLC,C AND L HOLDINGS LLC,0.078,1,Flathead,1701 VILLAGE CENTER CIR LAS VEGAS NV 89134-6368,exact normalized group mailing location: 1701 VILLAGE CENTER CIR LAS VEGAS NV 89134,address_candidate,False,,Shared tax address is not ownership proof; inspect entity managers and deed chain.
TERRITORY 1889 / LAKESIDE,PALS CABINS AT LAKESIDE I LLC,PALS CABINS AT LAKESIDE I LLC,31.892,3,Flathead,109 W 7TH ST STE 200 GEORGETOWN TX 78626-5766,owner-name keyword: LAKESIDE; exact normalized group mailing location: 109 W 7TH ST STE 200 GEORGETOWN TX 78626,address_candidate,False,,Shared tax address is not ownership proof; inspect entity managers and deed chain.
