ownership_group,PARCELID,OwnerName,TotalAcres,CountyName,OwnerAddre,OwnerAdd_1,OwnerAdd_2,OwnerCity,OwnerState,OwnerZip,match_reason,confidence,include_in_defensible_total,TaxYear,PropertyID,Assessment,PropType,DbaName,CareOfTaxp,LegalDescr,Subdivisio,project_category
CROSSHARBOR / LONE MOUNTAIN,25033705301150000,BENSON GARY & LAURIE A SNOW FAMILY TRUST &,13.87,Madison,C/O MARY FICKE,1215 DUNKIRK LANE N,,PLYMOUTH,MN,55447,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920369,0028800128,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S05, T07 S, R03 E, Lot 6A, ACRES 13.87, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033602102130000,18 APPLE LLC,11.89,Madison,3545 N OCEAN BLVD,,,DELRAY BEACH,FL,33483-7440,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,919426,0028003040,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 3, S02, T07 S, R02 E, Lot 340, ACRES 11.89, PLAT 4/499",YELLOWSTONE MOUNTAIN CLUB PHASE 3,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25042631301230000,NORTHERN TRUST COMPANY TRUSTEE,10.75,Madison,1301 2ND AVE,,,SEATTLE,WA,98101-3800,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920671,0029000104,Vacant Land,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2, S31, T06 S, R03 E, Lot 202A, ACRES 10.75, PLAT 4/821A, OVERLOOK SUB",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033706201180000,ANDESITE VIEW LLC,10.0,Madison,10115 E BELL RD # 107-485,,,SCOTTSDALE,AZ,85260-2189,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920359,0028800119,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S06, T07 S, R03 E, Lot 200A-A, ACRES 10, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033602102090000,ELK 329 LLC,9.45,Madison,639 E OCEAN AVE STE 309,,,BOYNTON BEACH,FL,33435-5016,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,919415,0028003029,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 3, S02, T07 S, R02 E, Lot 329-A, ACRES 9.45, PLAT 4/758",YELLOWSTONE MOUNTAIN CLUB PHASE 3,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033705201080000,RUBENSTEIN FAMILY YELLOWSTONE TRUST &,8.76,Madison,140 GOLF HOUSE RD,,,HAVERFORD,PA,19041,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920494,0028810139,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S05, T07 S, R03 E, Lot 39, ACRES 8.76, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,Yellowstone Club
CROSSHARBOR / LONE MOUNTAIN,25033601101120000,MOUNTAIN POWDER LLC,8.26,Madison,555 TWIN DOLPHIN DR STE 600,,,REDWOOD CITY,CA,94065-2130,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920374,0028800132,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2, S01, T07 S, R02 E, Lot 257A, ACRES 8.26, PLAT 4/467",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033602105030000,STANTON MCBURNEY REVOCABLE TRUST,8.19,Madison,6121 N NAUNI VALLEY DR,,,PARADISE VALLEY,AZ,85253-5163,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,919389,0028003004,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 3, S02, T07 S, R02 E, Lot 304, ACRES 8.19, PLAT 4/499",YELLOWSTONE MOUNTAIN CLUB PHASE 3,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033706101010000,YELLOWSTONE 172 LLC,7.75,Madison,C/O TABLE MANAGEMENT,787 11TH AVE 9TH FLOOR,,NEW YORK,NY,10019-3538,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920468,0028803601,Vacant Land,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S06, T07 S, R03 E, Lot 172, ACRES 7.75, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,Yellowstone Club
CROSSHARBOR / LONE MOUNTAIN,25033705301050000,PINE BLUFF HOLDINGS LLC,7.56,Madison,115 CENTRAL PARK W APT 19A,,,NEW YORK,NY,10023-4295,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920372,0028800130,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S05, T07 S, R03 E, Lot 5, ACRES 7.56, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033705201060000,LAVALLEE RANCH LLC,7.548,Madison,1 YELLOWSTONE CLUB TRL STE 161000,18 COPPER CT,,BIG SKY,MT,59716,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920346,0028800107,Improved Property,,LAVALLEE TOM,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S05, T07 S, R03 E, Lot 37A-1, ACRES 7.548, PLAT 4/514BA",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033706201060000,HARRIS GREGORY AND CATHERINE TRUST,7.19,Madison,5 N BAY CT,,,LEWES,DE,19958-3126,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920354,0028800114,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S06, T07 S, R03 E, Lot 68, ACRES 7.19, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033706201010000,ROGERS JOE W JR,7.17,Madison,2950 MOUNT WILKINSON PKWY SE UNIT 1109,,,ATLANTA,GA,30339-5873,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920357,0028800117,Vacant Land,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2, S06, T07 S, R03 E, Lot 184, ACRES 7.17, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033602301070000,YELLOWSTONE RIVER RUN LLC,7.11,Madison,31 SAINT JAMES AVE STE 740,,,BOSTON,MA,02116-4186,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,919396,0028003011,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 3, S02, T07 S, R02 E, Lot 311, ACRES 7.11, PLAT 4/499",YELLOWSTONE MOUNTAIN CLUB PHASE 3,Yellowstone Club
CROSSHARBOR / LONE MOUNTAIN,25033602105010000,STANTON MCBURNEY REVOCABLE TRUST,6.86,Madison,6121 N NAUNI VALLEY DR,,,PARADISE VALLEY,AZ,85253-5163,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,919390,0028003005,Vacant Land,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 3, S02, T07 S, R02 E, Lot 305, ACRES 6.86, PLAT 4/499",YELLOWSTONE MOUNTAIN CLUB PHASE 3,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033601101140000,LOT 256 YC LLC,6.85,Madison,PO BOX 7,,,BETHEL,CT,06801-0007,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920464,0028800256,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S01, T07 S, R02 E, Lot 256A, ACRES 6.85, PLAT 4/467",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,Yellowstone Club
CROSSHARBOR / LONE MOUNTAIN,25033705301080000,28 ANDESITE LLC,6.65,Madison,3406 VIA LIDO STE 1A BOX A109,,,NEWPORT BEACH,CA,92663-3961,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920431,0028800199,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S05, T07 S, R03 E, Lot 15A, ACRES 6.65, PLAT 4/576-BA",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033705301020000,FERRAGOSTO LLC,6.46,Madison,PO BOX 811,,,LOS ALTOS,CA,94023-0811,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920365,0028800124,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S05, T07 S, R03 E, Lot 9, ACRES 6.46, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033602102210000,JCA IV PINE RIDGE LLC,6.46,Madison,13941 CUBA RD,,,COCKEYSVILLE,MD,21030-1208,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,919421,0028003034,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 3, S02, T07 S, R02 E, Lot 334, ACRES 6.46, PLAT 4/499",YELLOWSTONE MOUNTAIN CLUB PHASE 3,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033602103070000,FOXXX DEN MONTANA LLC,6.27,Madison,PO BOX 962049,,,BOSTON,MA,02196-2049,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,919414,0028003030,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 3, S02, T07 S, R02 E, Lot 328-A, ACRES 6.27, PLAT 4/643BA",YELLOWSTONE MOUNTAIN CLUB PHASE 3,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033601202010000,SCHUMACHER CHARLES,6.21,Madison,3031 OKEECHOBEE BLVD,,,WEST PALM BCH,FL,33409-4015,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,919388,0028003002,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 3, S01, T07 S, R02 E, Lot 302, ACRES 6.21, PLAT 4/499",YELLOWSTONE MOUNTAIN CLUB PHASE 3,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033601202030000,SKYWOLF LLC,6.21,Madison,2644 BRONSON RD,,,FAIRFIELD,CT,06824-2068,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,919387,0028003001,Improved Property,,SUDREAU LAURE,"YELLOWSTONE MOUNTAIN CLUB PHASE 3, S01, T07 S, R02 E, Lot 301, ACRES 6.21, PLAT 4/499",YELLOWSTONE MOUNTAIN CLUB PHASE 3,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033601201030000,TIMBER CREEK ENDEAVORS LLC,5.91,Madison,3460 PRESTON RIDGE RD STE 150,,,ALPHARETTA,GA,30005-2064,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,919401,0028003016,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 3, S01, T07 S, R02 E, Lot 316, ACRES 5.91, PLAT 4/499",YELLOWSTONE MOUNTAIN CLUB PHASE 3,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033602301030000,ZEAL MONTANA LLC,5.73,Madison,C/O CASTLE ROCK ADVISORS,200 CLARENDON ST FL 35,,BOSTON,MA,02116,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,919392,0028003007,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 3, S02, T07 S, R02 E, Lot 307, ACRES 5.73, PLAT 4/499",YELLOWSTONE MOUNTAIN CLUB PHASE 3,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033705301110000,RUNNING DOG TRUST AGREEMENT &,5.65,Madison,YELLOWSTONE CLUB -161000,45 ANDESTIE RIDGE ROAD,,BIG SKY,MT,59716-1000,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920376,0028800134,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S05, T07 S, R03 E, Lot 23, ACRES 5.65, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033601201010000,WRIGHT FAMILY TRUST,5.62,Madison,19 RANDOM RD,,,CHERRY HL VLG,CO,80113-6105,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,919400,0028003015,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 3, S01, T07 S, R02 E, Lot 315, ACRES 5.62, PLAT 4/499",YELLOWSTONE MOUNTAIN CLUB PHASE 3,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033705301010000,FERRAGOSTO LLC,5.58,Madison,PO BOX 811,,,LOS ALTOS,CA,94023-0811,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920389,0028800147,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S05, T07 S, R03 E, Lot 8, ACRES 5.58, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25042536303070000,MINKOFF DANIEL M & JESSICA M TRUSTEES,5.53,Madison,6272 VIRGO RD,,,OAKLAND,CA,94611-1936,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,919202,0028000426,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 3A, S36, T06 S, R02 E, Lot 426A, ACRES 5.53, PLAT 4/602-BA",YELLOWSTONE MOUNTAIN CLUB PHASE 3A,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033706101380000,SONNEBORN WILLIAM CHARLES & KAREN HAMMERBACK JOINT REV TRUST,5.418,Madison,KKR ACCOUNTING SERVICES LLC,155 BOVET RD STE 770,,SAN MATEO,CA,94402,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920390,0028800148,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2, S06, T07 S, R03 E, Lot 56-A, ACRES 5.418, PLAT 4/575BA",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033601203010000,MOOSE MATTERS LLC,5.38,Madison,1727 MANDEVILLE CANYON RD,,,LOS ANGELES,CA,90049-2525,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,919386,0028003000,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 3, S01, T07 S, R02 E, Lot 300, ACRES 5.38, PLAT 4/499",YELLOWSTONE MOUNTAIN CLUB PHASE 3,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25042536404020000,HILZINGER KURT J & DEBORAH G,5.3,Madison,251 CHESWOLD LN,,,HAVERFORD,PA,19041-1803,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,921559,0029006205,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S36, T06 S, R02 E, Lot 99, ACRES 5.3, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033706101020000,PW HOLDINGS LLC,5.25,Madison,15 STEEPLE CHASE RD,,,GREENWICH,CT,06831,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920364,0028800123,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S06, T07 S, R03 E, Lot 171, ACRES 5.25, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033602102190000,YELLOWSTONE LOT 335 TRUST,5.1,Madison,9521 LA JOLLA FARMS RD,,,LA JOLLA,CA,92037-1130,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,919422,0028003035,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 3, S02, T07 S, R02 E, Lot 335, ACRES 5.1, PLAT 4/499",YELLOWSTONE MOUNTAIN CLUB PHASE 3,Yellowstone Club
CROSSHARBOR / LONE MOUNTAIN,25033706101200000,HALL ANNE W REVOCABLE TRUST,5.06,Madison,220 CORAL LN,,,PALM BEACH,FL,33480-3605,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920432,0028800201,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2, S06, T07 S, R03 E, Lot 62A, ACRES 5.06, PLAT 4/635",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033705201050000,CC13 LLC,5.0,Madison,101 INDIAN RD,,,PALM BEACH,FL,33480-3019,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920345,0028800106,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2, S05, T07 S, R03 E, Lot 36A, ACRES 5, PLAT 4/514BA",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
CROSSHARBOR / LONE MOUNTAIN,25033705301030000,FERRAGOSTO LLC,5.0,Madison,PO BOX 811,,,LOS ALTOS,CA,94023-0811,legal/subdivision context contains YELLOWSTONE MOUNTAIN CLUB; owner field is not a confirmed developer entity; treated as individually owned member/homeowner or other nondeveloper parcel,unrelated,False,2026,920388,0028800146,Improved Property,,,"YELLOWSTONE MOUNTAIN CLUB PHASE 1 & 2, S05, T07 S, R03 E, Lot 10, ACRES 5, PLAT 4/408",YELLOWSTONE MOUNTAIN CLUB PHASE 1 AND 2,other CrossHarbor/LMLC
