owner_name,normalized_owner_name,total_acres,parcel_count,counties,county_acreage_breakdown,owner_addresses,match_reason,confidence,include_in_defensible_total
WASHINGTON PATRICIA C & ROBERT O JR,WASHINGTON PATRICIA C AND ROBERT O JR,22.02,1,Custer,Custer: 22.02,"PO BOX 1382, MILES CITY, MT, 59301-1382",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
WASHINGTON ROBERT O JR & PATRICIA C,WASHINGTON ROBERT O JR AND PATRICIA C,20.58,1,Custer,Custer: 20.58,"PO BOX 1382, MILES CITY, MT, 59301-1382",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
GRANT CREEK RANCH  LLC,GRANT CREEK RANCH LLC,20.0,1,Missoula,Missoula: 20.00,"101 INTERNATIONAL DR, ATTN: JOHNNA EISENMANN, MISSOULA, MT, 59808-1549",exact normalized owner-name match to supplied conditional seed; broad keyword in OwnerName: GRANT CREEK; normalized mailing address matches Washington Companies HQ,strong_candidate,True
WASHINGTON PARK COMMERCIAL CENTER LLC,WASHINGTON PARK COMMERCIAL CENTER LLC,19.625,32,Flathead | Lake | Missoula,Flathead: 19.06 | Lake: 0.56 | Missoula: 0.00,"2400 OLD FORT RD, MISSOULA, MT, 59804-7421",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
INLAND PROPERTIES INC,INLAND PROPERTIES INC,15.18,1,Missoula,Missoula: 15.18,"PO BOX 16630, MISSOULA, MT, 59808-6630",normalized mailing address matches Washington Companies HQ,address_candidate,False
RELP,RELP,15.08,2,Missoula,Missoula: 15.08,"101 INTERNATIONAL DR, ATTN: JOHNNA EISENMANN, MISSOULA, MT, 59808-1549",normalized mailing address matches Washington Companies HQ,address_candidate,False
TKG GRANT CREEK DEVELOPMENT LLC,TKG GRANT CREEK DEVELOPMENT LLC,14.91,2,Missoula,Missoula: 14.91,"211 N STADIUM BLVD STE 201, COLUMBIA, MO, 65203-1161",broad keyword in OwnerName: GRANT CREEK,weak_candidate,False
MONT RAIL LINK,MONT RAIL LINK,12.714,4,Broadwater,Broadwater: 12.71,"PO BOX 16624, MISSOULA, MT, 59808-6624 | PO BOX 16630, MISSOULA, MT, 59808-6630",normalized mailing address matches Washington Companies HQ; known historical or unrelated record; excluded from current total,unrelated,False
WASHINGTON PROPERTIES LLC,WASHINGTON PROPERTIES LLC,10.0,1,Missoula,Missoula: 10.00,"3590 GALBAVY DR, MISSOULA, MT, 59804-9317",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
CONSUMER DIRECT GRANT CREEK CAMPUS LLC,CONSUMER DIRECT GRANT CREEK CAMPUS LLC,9.620000000000001,3,Missoula,Missoula: 9.62,"100 CONSUMER DIRECT WAY, MISSOULA, MT, 59808-5037",broad keyword in OwnerName: GRANT CREEK,weak_candidate,False
OLD POND HOLDINGS LLC,OLD POND HOLDINGS LLC,9.181999999999999,4,Missoula,Missoula: 9.18,"101 INTERNATIONAL DR, MISSOULA, MT, 59808-1549",normalized mailing address matches Washington Companies HQ,address_candidate,False
GRANT CREEK SELF STORAGE LLC,GRANT CREEK SELF STORAGE LLC,8.28,1,Missoula,Missoula: 8.28,"3605 BRAHMS WAY, MISSOULA, MT, 59802-3269",broad keyword in OwnerName: GRANT CREEK,weak_candidate,False
LIMESTONE CAMPING LLC,LIMESTONE CAMPING LLC,7.726,1,Judith Basin,Judith Basin: 7.73,"4129 LIMESTONE CANYON RD, RAYNESFORD, MT, 59469-9619",broad keyword in OwnerName: LIMESTONE,weak_candidate,False
1148 WASHINGTON ST A LLC,1148 WASHINGTON ST A LLC,7.65,1,Carbon,Carbon: 7.65,"8082 50TH DRIVE, DENVER, CO, 80238",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
GRANT CREEK VILLAGE PH 1 LLC,GRANT CREEK VILLAGE PH 1 LLC,7.6,1,Missoula,Missoula: 7.60,"5313 ELYN LOOP, MISSOULA, MT, 59808-1058",broad keyword in OwnerName: GRANT CREEK,weak_candidate,False
WASHINGTON MATTHEW,WASHINGTON MATTHEW,5.03,1,Cascade,Cascade: 5.03,"3409 11TH AVE S APT 11, GREAT FALLS, MT, 59405-5582",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
GRANT CREEK INN LLC,GRANT CREEK INN LLC,4.96,1,Missoula,Missoula: 4.96,"5280 GRANT CREEK RD, MISSOULA, MT, 59808-1492",broad keyword in OwnerName: GRANT CREEK,weak_candidate,False
WASHINGTON FOUNDATIONS,WASHINGTON FOUNDATIONS,4.888,1,Flathead,Flathead: 4.89,"305 E 1ST ST UNIT 1140, CLE ELUM, WA, 98922-4146",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
GRANT CREEK CELLARS LLC,GRANT CREEK CELLARS LLC,4.04,2,Missoula,Missoula: 4.04,"7400 OLD GRANT CREEK RD, MISSOULA, MT, 59808-9041",broad keyword in OwnerName: GRANT CREEK,weak_candidate,False
WESTERN WASHINGTON CORP OF SEVENTH DAY ADVENTISTS TRUSTEE,WESTERN WASHINGTON CORP OF SEVENTH DAY ADVENTISTS TRUSTEE,3.942,1,Sanders,Sanders: 3.94,"27515 37TH AVE NE, ARLINGTON, WA, 98223-7375",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
OLD GRANT CREEK LLC,OLD GRANT CREEK LLC,2.8,3,Missoula,Missoula: 2.80,"PO BOX 16930, MISSOULA, MT, 59808-6930",broad keyword in OwnerName: GRANT CREEK,weak_candidate,False
WASHINGTON PARK ONE CONDOMINIUMS,WASHINGTON PARK ONE CONDOMINIUMS,2.25,1,Missoula,Missoula: 2.25,"2727 LYNDON B JOHNSON FWY STE 806, DALLAS, TX, 75234-7334",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
WASHINGTON SCHOOL,WASHINGTON SCHOOL,2.238,1,Park,Park: 2.24,"315 N 8TH ST, LIVINGSTON, MT, 59047-1733",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
SCHOOL DIST 1 WASHINGTON,SCHOOL DIST 1 WASHINGTON,1.837,1,Custer,Custer: 1.84,"1604 MAIN ST, MILES CITY, MT, 59301-3667",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
GRANT CREEK LLC,GRANT CREEK LLC,1.733,2,Missoula,Missoula: 1.73,"PO BOX 1491, IDAHO FALLS, ID, 83403-1491",broad keyword in OwnerName: GRANT CREEK,weak_candidate,False
"HOME BOYS INC, A WASHINGTON CORP",HOME BOYS INC A WASHINGTON CORP,1.532,1,Lincoln,Lincoln: 1.53,"15906 E SPRAGUE AVE, SPOKANE VALLEY, WA, 99037-8964",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
836 E WASHINGTON ST LLC,836 E WASHINGTON ST LLC,1.5,1,Flathead,Flathead: 1.50,"818 SMOKY BAY WAY, PMB 381, HOMER, AK, 99603-7653",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
WASHINGTON LOGAN MARSHALL,WASHINGTON LOGAN MARSHALL,1.37,2,Lincoln,Lincoln: 1.37,"308 E 30TH AVE, SPOKANE, WA, 99203-2554",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
GRANT CREEK VILLAGE HOMEOWNERS ASSOC,GRANT CREEK VILLAGE HOMEOWNERS ASSOC,1.13,1,Missoula,Missoula: 1.13,"PO BOX 8182, MISSOULA, MT, 59807-8182",broad keyword in OwnerName: GRANT CREEK,weak_candidate,False
GRANT CREEK EXCAVATING LLC,GRANT CREEK EXCAVATING LLC,1.07,1,Missoula,Missoula: 1.07,"316 EXPRESSWAY, MISSOULA, MT, 59808-1560",broad keyword in OwnerName: GRANT CREEK,weak_candidate,False
LIMESTONE RENTALS LLC,LIMESTONE RENTALS LLC,1.036,1,Cascade,Cascade: 1.04,"716 5TH AVE N, GREAT FALLS, MT, 59401-1530",broad keyword in OwnerName: LIMESTONE,weak_candidate,False
WASHINGTON PARK CONDO MASTER,WASHINGTON PARK CONDO MASTER,0.909,1,Silver Bow,Silver Bow: 0.91,"GENERAL DELIVERY, BUTTE, MT, 59701",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
GRANT CREEK PROPERTIES LLC,GRANT CREEK PROPERTIES LLC,0.693,1,Missoula,Missoula: 0.69,"2700 RADIO WAY, MISSOULA, MT, 59808-1385",broad keyword in OwnerName: GRANT CREEK,weak_candidate,False
701 WASHINGTON LLC,701 WASHINGTON LLC,0.585,1,Lewis and Clark,Lewis and Clark: 0.58,"750 EL CAMINO REAL, TUSTIN, CA, 92780-4369",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
GRANT CREEK WATER USERS ASSOCIATION INC,GRANT CREEK WATER USERS ASSOCIATION INC,0.552,1,Missoula,Missoula: 0.55,"PO BOX 17222, MISSOULA, MT, 59808-7222",broad keyword in OwnerName: GRANT CREEK,weak_candidate,False
WASHINGTON COURT CONDOMINIUMS,WASHINGTON COURT CONDOMINIUMS,0.517,1,Cascade,Cascade: 0.52,"GENERAL DELIVERY, GREAT FALLS, MT, 59401-9999",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
WASHINGTON PHEBE TRUSTEE,WASHINGTON PHEBE TRUSTEE,0.5,1,Missoula,Missoula: 0.50,"4595 MILLER CREEK RD, MISSOULA, MT, 59803-1065",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
ISAACS GEORGE WASHINGTON,ISAACS GEORGE WASHINGTON,0.46,1,Missoula,Missoula: 0.46,"9200 PAINTBRUSH LN, MISSOULA, MT, 59808-9628",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
WASHINGTON GREGORY B ETAL,WASHINGTON GREGORY B ETAL,0.415,1,Lewis and Clark,Lewis and Clark: 0.41,"918 DARTER RD, HELENA, MT, 59602-8175",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
FAMILY HILL TRUST LESSEE,FAMILY HILL TRUST LESSEE,0.371,2,Ravalli,Ravalli: 0.37,"MONTANA RAIL LINK INC -ADD ONLY-, ATTN:  REAL ESTATE DEPARTMENT, PO BOX 16624, MISSOULA, MT, 59808-6624",,unrelated,False
30 EAST WASHINGTON LLC,30 EAST WASHINGTON LLC,0.322,2,Flathead,Flathead: 0.32,"212 JUNIPER BEND DR, KALISPELL, MT, 59901-2658",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
WASHINGTON SQUARE CONDOMINIUMS,WASHINGTON SQUARE CONDOMINIUMS,0.31,1,Fergus,Fergus: 0.31,"PO BOX 1203, LEWISTOWN, MT, 59457-1203",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
203 W WASHINGTON AVE LLC,203 W WASHINGTON AVE LLC,0.275,1,Gallatin,Gallatin: 0.28,"PO BOX 591, MANHATTAN, MT, 59741-0591",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
WASHINGTON FRANCINE,WASHINGTON FRANCINE,0.258,2,Big Horn,Big Horn: 0.26,"PO BOX 126, CROW AGENCY, MT, 59022-0126",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
"WASHINGTON, SCOT J & SARAH M",WASHINGTON SCOT J AND SARAH M,0.206,1,Yellowstone,Yellowstone: 0.21,"2242 DARCY LN, BILLINGS, MT, 59102-2036",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
WASHINGTON BRYAN O & ASHA D,WASHINGTON BRYAN O AND ASHA D,0.178,1,Cascade,Cascade: 0.18,"1419 25TH AVE S, GREAT FALLS, MT, 59405-6306",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
HOLLANDA WASHINGTON VITOR DE,HOLLANDA WASHINGTON VITOR DE,0.177,1,Roosevelt,Roosevelt: 0.18,"PO BOX 244, BAINVILLE, MT, 59212-0244",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
"WASHINGTON, SANDRA M",WASHINGTON SANDRA M,0.168,1,Yellowstone,Yellowstone: 0.17,"4522 LUX AVE, BILLINGS, MT, 59101-4800",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
WASHINGTON KATHERINE MC BROOM TRUST,WASHINGTON KATHERINE MC BROOM TRUST,0.161,1,Lake,Lake: 0.16,"608 4TH ST W, POLSON, MT, 59860-2613",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
WASHINGTON FAMILY TRUST,WASHINGTON FAMILY TRUST,0.14,1,Flathead,Flathead: 0.14,"8 BLUE  RIVER, IRVINE, CA, 92604",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link; broad WASHINGTON keyword in CareOfTaxp; surname/term alone is not a link,unrelated,False
VANDERPOEL WASHINGTON I III,VANDERPOEL WASHINGTON I III,0.135,1,Missoula,Missoula: 0.14,"510 DICKINSON ST, MISSOULA, MT, 59802-3118",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
BURLINGTON NORTHERN COMMUNICATIONS,BURLINGTON NORTHERN COMMUNICATIONS,0.122,1,Missoula,Missoula: 0.12,"MAIL TO: MONTANA RAIL LINK, WASHINGTON, PO BOX 16630, MISSOULA, MT, 59808-6630",normalized mailing address matches Washington Companies HQ; known historical or unrelated record; excluded from current total,unrelated,False
3803 PIPESTONE LLC,3803 PIPESTONE LLC,0.104,1,Gallatin,Gallatin: 0.10,"1001 MAIN STREET, KALISPELL, MT, 59901",broad keyword in OwnerName: PIPESTONE,weak_candidate,False
WASHINGTON REAL ESTATE LLC,WASHINGTON REAL ESTATE LLC,0.101,1,Missoula,Missoula: 0.10,"2420 WOODLAND AVE, MISSOULA, MT, 59802-3432",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
MONTANA RAIL LINK  INC,MONTANA RAIL LINK INC,0.09,1,Missoula,Missoula: 0.09,"ATTN REAL ESTATE, PO BOX 16624, MISSOULA, MT, 59808-6624",,unrelated,False
WASHINGTON ROBERT O,WASHINGTON ROBERT O,0.088,1,Custer,Custer: 0.09,"1403 PHILLIPS ST, MILES CITY, MT, 59301-2638",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
3879 PIPESTONE LLC,3879 PIPESTONE LLC,0.072,1,Gallatin,Gallatin: 0.07,"2215 ARROWLEAF HILLS DR, BOZEMAN, MT, 59715-9207",broad keyword in OwnerName: PIPESTONE,weak_candidate,False
"WASHINGTON, DOMINIC",WASHINGTON DOMINIC,0.057,1,Yellowstone,Yellowstone: 0.06,"1769 ST GEORGE BLVD, BILLINGS, MT, 59101-7171",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
MONTANA RAIL LINK- MISSOULA ELECTIC CO-OP- LESSEE,MONTANA RAIL LINK MISSOULA ELECTIC CO OP LESSEE,0.049,1,Ravalli,Ravalli: 0.05,"WASHINGTON CORPORATION - ADD ONLY, PO BOX 16630, MISSOULA, MT, 59808-6630",normalized mailing address matches Washington Companies HQ; known historical or unrelated record; excluded from current total,unrelated,False
WASHINGTON COURT,WASHINGTON COURT,0.0,1,Cascade,Cascade: 0.00,"925 1ST AVE N # 107, GREAT FALLS, MT, 59401-2692",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
"WASHINGTON, BLANCA L",WASHINGTON BLANCA L,0.0,1,Yellowstone,Yellowstone: 0.00,"3285 CANYON DR UNIT 55, BILLINGS, MT, 59102-6098",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
"WASHINGTON, JOHN & ANGELA",WASHINGTON JOHN AND ANGELA,0.0,1,Yellowstone,Yellowstone: 0.00,"3397 AVENUE F, BILLINGS, MT, 59102-8111",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
"WASHINGTON, MARK",WASHINGTON MARK,0.0,1,Yellowstone,Yellowstone: 0.00,"3134 N DAFFODIL DR, BILLINGS, MT, 59102-4422",broad WASHINGTON keyword in OwnerName; surname/term alone is not a link,unrelated,False
