PARCELID,PropertyID,OwnerName,TotalAcres,CountyName,OwnerAddre,OwnerAdd_1,OwnerAdd_2,OwnerCity,OwnerState,OwnerZipCo,DbaName,CareOfTaxp,LegalDescr,Township,Range,Section,matched_grouped_entity,ranch_component,match_reason
49034215301010000,664974,RANCH AT DOME MOUNTAIN LLC,160.0,Park,3223 HOWELL MILL RD NW,,,ATLANTA,GA,30327-4105,,,"S15, T07 S, R07 E, SW4",07 S,07 E,15,ARTHUR BLANK / AMB WEST,Auster / Ranch at Dome Mountain,Official AMB West pages identify Auster/Ranch at Dome Mountain as Blank's fourth property; cadastral owner uses the Blank organization Atlanta address.
49034216101020000,664641,RANCH AT DOME MOUNTAIN LLC,154.0,Park,3223 HOWELL MILL RD NW,,,ATLANTA,GA,30327-4105,,,"S16, T07 S, R07 E, SW4NE4, E2NW4, SW4NW4",07 S,07 E,16,ARTHUR BLANK / AMB WEST,Auster / Ranch at Dome Mountain,Official AMB West pages identify Auster/Ranch at Dome Mountain as Blank's fourth property; cadastral owner uses the Blank organization Atlanta address.
49034217401050000,664642,RANCH AT DOME MOUNTAIN LLC,96.87,Park,3223 HOWELL MILL RD NW,,,ATLANTA,GA,30327-4105,,,"S17, T07 S, R07 E, ALL E OF RIVER",07 S,07 E,17,ARTHUR BLANK / AMB WEST,Auster / Ranch at Dome Mountain,Official AMB West pages identify Auster/Ranch at Dome Mountain as Blank's fourth property; cadastral owner uses the Blank organization Atlanta address.
49034204401050000,664636,RANCH AT DOME MOUNTAIN LLC,71.34,Park,3223 HOWELL MILL RD NW,,,ATLANTA,GA,30327-4105,,,"S04, T07 S, R07 E, C.O.S. 2747 RB, PARCEL 3, ACRES 71.34",07 S,07 E,04,ARTHUR BLANK / AMB WEST,Auster / Ranch at Dome Mountain,Official AMB West pages identify Auster/Ranch at Dome Mountain as Blank's fourth property; cadastral owner uses the Blank organization Atlanta address.
49034203260010000,664994,RANCH AT DOME MOUNTAIN LLC,33.75,Park,3223 HOWELL MILL RD NW,,,ATLANTA,GA,30327-4105,,,"S03, T07 S, R07 E, UNSURVEYED ISLAND IN YELLOWSTONE RIVER IN GOVT LOTS 5,6 (IN NW4)",07 S,07 E,03,ARTHUR BLANK / AMB WEST,Auster / Ranch at Dome Mountain,Official AMB West pages identify Auster/Ranch at Dome Mountain as Blank's fourth property; cadastral owner uses the Blank organization Atlanta address.
49034204405020000,1598285,RANCH AT DOME MOUNTAIN LLC,18.18,Park,3223 HOWELL MILL RD NW,,,ATLANTA,GA,30327-4105,,,"S04, T07 S, R07 E, C.O.S. 2755, PARCEL A, ACRES 18.18",07 S,07 E,04,ARTHUR BLANK / AMB WEST,Auster / Ranch at Dome Mountain,Official AMB West pages identify Auster/Ranch at Dome Mountain as Blank's fourth property; cadastral owner uses the Blank organization Atlanta address.
49034204301010000,1604495,RANCH AT DOME MOUNTAIN LLC,17.79,Park,3223 HOWELL MILL RD NW,,,ATLANTA,GA,30327-4105,,,"S04, T07 S, R07 E, C.O.S. 2747, ACRES 17.79",07 S,07 E,04,ARTHUR BLANK / AMB WEST,Auster / Ranch at Dome Mountain,Official AMB West pages identify Auster/Ranch at Dome Mountain as Blank's fourth property; cadastral owner uses the Blank organization Atlanta address.
49034204405040000,1598287,RANCH AT DOME MOUNTAIN LLC,14.45,Park,3223 HOWELL MILL RD NW,,,ATLANTA,GA,30327-4105,,,"S04, T07 S, R07 E, C.O.S. 2755, PARCEL D, ACRES 14.45",07 S,07 E,04,ARTHUR BLANK / AMB WEST,Auster / Ranch at Dome Mountain,Official AMB West pages identify Auster/Ranch at Dome Mountain as Blank's fourth property; cadastral owner uses the Blank organization Atlanta address.
49034209160010000,664648,RANCH AT DOME MOUNTAIN LLC,11.69,Park,3223 HOWELL MILL RD NW,,,ATLANTA,GA,30327-4105,,,"S09, T07 S, R07 E, C.O.S. 1122, IN GOVT LT 5 (CONTIGUOUS)",07 S,07 E,09,ARTHUR BLANK / AMB WEST,Auster / Ranch at Dome Mountain,Official AMB West pages identify Auster/Ranch at Dome Mountain as Blank's fourth property; cadastral owner uses the Blank organization Atlanta address.
49034204405030000,1598286,RANCH AT DOME MOUNTAIN LLC,9.23,Park,3223 HOWELL MILL RD NW,,,ATLANTA,GA,30327-4105,,,"S04, T07 S, R07 E, C.O.S. 2755, PARCEL C, ACRES 9.23",07 S,07 E,04,ARTHUR BLANK / AMB WEST,Auster / Ranch at Dome Mountain,Official AMB West pages identify Auster/Ranch at Dome Mountain as Blank's fourth property; cadastral owner uses the Blank organization Atlanta address.
49043013101050000,669470,BLANK ARTHUR M,8.475,Park,3223 HOWELL MILL RD NW,,,ATLANTA,GA,30327-4105,,SAWYER LISA,"S13, T06 S, R06 E, C.O.S. 2321, PARCEL 5A-1",06 S,06 E,13,ARTHUR BLANK / AMB WEST,Auster / Ranch at Dome Mountain,Direct Arthur M. Blank cadastral ownership at the same 3223 Howell Mill Road Atlanta address as Ranch at Dome Mountain LLC.
49034204405010000,664580,RANCH AT DOME MOUNTAIN LLC,5.28,Park,3223 HOWELL MILL RD NW,,,ATLANTA,GA,30327-4105,,,"S04, T07 S, R07 E, C.O.S. 2755, PARCEL B, ACRES 5.28, TRACT 4 PARCELS 1 & 2 OF DEED#427877",07 S,07 E,04,ARTHUR BLANK / AMB WEST,Auster / Ranch at Dome Mountain,Official AMB West pages identify Auster/Ranch at Dome Mountain as Blank's fourth property; cadastral owner uses the Blank organization Atlanta address.
49034209402010000,664649,RANCH AT DOME MOUNTAIN LLC,5.122,Park,3223 HOWELL MILL RD NW,,,ATLANTA,GA,30327-4105,,,"S09, T07 S, R07 E, C.O.S. COS 747",07 S,07 E,09,ARTHUR BLANK / AMB WEST,Auster / Ranch at Dome Mountain,Official AMB West pages identify Auster/Ranch at Dome Mountain as Blank's fourth property; cadastral owner uses the Blank organization Atlanta address.
49043001101010000,670346,MOUNTAIN SKY GUEST RANCH LLC,713.199,Park,PO BOX 1219,,,EMIGRANT,MT,59027-1219,,,"S01, T06 S, R06 E, LOTS 1 THRU 12. SW4, SE4 (ALL)",06 S,06 E,01,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
49043109301010000,670493,MOUNTAIN SKY GUEST RANCH LLC,647.723,Park,MAIL TO:  YANCEY ARTEBURN,PO BOX 1219,,EMIGRANT,MT,59027-1219,,,"S09, T06 S, R07 E, C.O.S. 1696, ALL",06 S,07 E,09,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
49043120301010000,669467,MOUNTAIN SKY GUEST RANCH LLC,611.841,Park,MAIL TO: YANCEY ARTEBURN,PO BOX 1219,,EMIGRANT,MT,59027-1219,,,"S20, T06 S, R07 E, C.O.S. 2131, ACRES 611.841, ALL LESS PARCEL CW",06 S,07 E,20,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
49043119101010000,669469,MOUNTAIN SKY GUEST RANCH LLC,598.75,Park,MAIL TO: YANCEY ARTEBURN,PO BOX 1219,,EMIGRANT,MT,59027-1219,,,"S19, T06 S, R07 E, C.O.S. 1696, ACRES 598.75, ALL SEC 19 & PCL MS-1 OF COS 2131",06 S,07 E,19,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
49043108401010000,670492,MOUNTAIN SKY GUEST RANCH LLC,567.978,Park,MAIL TO:  YANCEY ARTEBURN,PO BOX 1219,,EMIGRANT,MT,59027-1219,,,"S08, T06 S, R07 E, C.O.S. 1696, N2, E2SW4, SE4",06 S,07 E,08,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
49043117101010000,668986,MOUNTAIN SKY GUEST RANCH LLC,560.286,Park,MAIL TO:  YANCEY ARTEBURN,PO BOX 1219,,EMIGRANT,MT,59027-1219,,,"S17, T06 S, R07 E, POR N OF BIG CR (REFERENCE COS 1696)",06 S,07 E,17,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
49043121301010000,669468,MOUNTAIN SKY GUEST RANCH LLC,459.211,Park,MAIL TO: YANCEY ARTEBURN,PO BOX 1219,,EMIGRANT,MT,59027-1219,,,"S21, T06 S, R07 E, C.O.S. 1391, ACRES 459.211, ALL LESS CS1391 & 180A & MS-2",06 S,07 E,21,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
49043114401010000,670358,MOUNTAIN SKY GUEST RANCH LLC,322.9,Park,MAIL TO: Dylan King,PO BOX 1219,,EMIGRANT,MT,59027-1219,,,"S14, T06 S, R07 E, COS 1720, PARCEL BX",06 S,07 E,14,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
49043110301010000,670494,MOUNTAIN SKY GUEST RANCH LLC,306.439,Park,MAIL TO:  YANCEY ARTEBURN,PO BOX 1219,,EMIGRANT,MT,59027-1219,,,"S10, T06 S, R07 E, S2SW4NE4, S2S2NW4, SW4, W2SE4 (REFERENCE COS 1696)",06 S,07 E,10,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
49043118301010000,668983,MOUNTAIN SKY GUEST RANCH LLC,267.486,Park,PO BOX 1219,,,EMIGRANT,MT,59027-1219,,,"S18, T06 S, R07 E, C.O.S. 2321, PARCEL 4A-1, ACRES 267.486",06 S,07 E,18,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
49043113101010000,670451,MOUNTAIN SKY GUEST RANCH LLC,259.0,Park,MAIL TO: YANCEY ARTEBURN,PO BOX 1219,,EMIGRANT,MT,59027-1219,,,"S13, T06 S, R07 E, POR LOTS 1,2,3,4, N OF DRY CRK & N & W OF HWY, POR N2NE4, N2NW4, SW4NW4",06 S,07 E,13,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
49043115301010000,670353,MOUNTAIN SKY GUEST RANCH LLC,258.709,Park,MAIL TO: Dylan King,PO BOX 1219,,EMIGRANT,MT,59027-1219,,,"S15, T06 S, R07 E, S2 (REFERENCE COS 1696)",06 S,07 E,15,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
49043107401010000,670345,MOUNTAIN SKY GUEST RANCH LLC,178.37,Park,MAIL TO YANCEY ARTEBURN,PO BOX 1219,,EMIGRANT,MT,59027-1219,,CROWLEY MATT,"S07, T06 S, R07 E, C.O.S. 2218, PARCEL CS",06 S,07 E,07,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
49043115201010000,670495,MOUNTAIN SKY GUEST RANCH LLC,162.751,Park,MAIL TO:  YANCEY ARTEBURN,PO BOX 1219,,EMIGRANT,MT,59027-1219,,,"S15, T06 S, R07 E, C.O.S. 1696, NW4",06 S,07 E,15,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
49043105101010000,669224,MOUNTAIN SKY GUEST RANCH LLC,160.0,Park,MAIL TO: YANCEY ARTEBURN,PO BOX 1219,,EMIGRANT,MT,59027-1219,,,"S05, T06 S, R07 E, NE4 (REFERENCE COS 1877)",06 S,07 E,05,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
49043106401010000,669207,MOUNTAIN SKY GUEST RANCH LLC,160.0,Park,MAIL TO YANCEY ARTEBURN,PO BOX 1219,,EMIGRANT,MT,59027-1219,,,"S06, T06 S, R07 E, SE4",06 S,07 E,06,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
49043105301070000,670539,MOUNTAIN SKY GUEST RANCH LLC,160.0,Park,MAIL TO: YANCEY ARTEBURN,PO BOX 1219,,EMIGRANT,MT,59027-1219,,,"S05, T06 S, R07 E, SW4",06 S,07 E,05,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
49043105401010000,669380,MOUNTAIN SKY GUEST RANCH,160.0,Park,MAIL TO YANCEY ARTEBURN,PO BOX 1219,,EMIGRANT,MT,59027-1219,,,"S05, T06 S, R07 E, SE4",06 S,07 E,05,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Punctuation/suffix variant of Mountain Sky Guest Ranch at the identical PO Box 1219 Emigrant ranch-management address.
49043107301010000,669209,MOUNTAIN SKY GUEST RANCH LLC,150.34,Park,PO BOX 1219,,,EMIGRANT,MT,59027-1219,,,"S07, T06 S, R07 E, SW4",06 S,07 E,07,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
49043107201010000,669210,MOUNTAIN SKY GUEST RANCH LLC,146.82,Park,PO BOX 1219,,,EMIGRANT,MT,59027-1219,,,"S07, T06 S, R07 E, NW4",06 S,07 E,07,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
49043107401050000,669479,MOUNTAIN SKY GUEST RANCH LLC,93.99,Park,MAIL TO: YANCEY ARTEBURN,PO BOX 1219,,EMIGRANT,MT,59027-1219,,,"S07, T06 S, R07 E, C.O.S. 2218, PARCEL KN",06 S,07 E,07,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
49043123201010000,670355,MOUNTAIN SKY GUEST RANCH LLC,86.893,Park,MAIL TO: Dylan King,PO BOX 1219,,EMIGRANT,MT,59027-1219,,,"S23, T06 S, R07 E, C.O.S. 1696, POR W2 N OF BIG CREEK & W OF COS 1720",06 S,07 E,23,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
49043114301010000,670352,MOUNTAIN SKY GUEST RANCH LLC,74.429,Park,MAIL TO: Dylan King,PO BOX 1219,,EMIGRANT,MT,59027-1219,,,"S14, T06 S, R07 E, SW4 LESS COS 1720 (REFERENCE COS 1696)",06 S,07 E,14,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
49043122101100000,670354,MOUNTAIN SKY GUEST RANCH LLC,68.338,Park,MAIL TO: Dylan King,PO BOX 1219,,EMIGRANT,MT,59027-1219,,,"S22, T06 S, R07 E, C.O.S. 1696, N2 N OF COS 1391",06 S,07 E,22,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
49043107101010000,669208,MOUNTAIN SKY GUEST RANCH LLC,46.62,Park,MAIL TO YANCEY ARTEBURN,PO BOX 1219,,EMIGRANT,MT,59027-1219,,,"S07, T06 S, R07 E, NE4NE4, POR  NW4NE4",06 S,07 E,07,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
49043105201010000,670535,MOUNTAIN SKY GUEST RANCH LLC,40.376,Park,MAIL TO YANCEY ARTEBURN,PO BOX 1219,,EMIGRANT,MT,59027-1219,,,"S05, T06 S, R07 E, C.O.S. 1711, PARCEL 4, REFERENCE COS 1877",06 S,07 E,05,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
49043105210100000,670538,MOUNTAIN SKY GUEST RANCH LLC,40.317,Park,MAIL TO: YANCEY ARTEBURN,PO BOX 1219,,EMIGRANT,MT,59027-1219,,,"S05, T06 S, R07 E, C.O.S. 1711, PARCEL 3, REFERENCE COS 1877",06 S,07 E,05,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
49043108301100000,669075,MOUNTAIN SKY GUEST RANCH LLC,40.226,Park,MAIL TO YANCEY ARTEBURN,PO BOX 1219,,EMIGRANT,MT,59027-1219,,,"S08, T06 S, R07 E, C.O.S. 1303, PARCEL 1",06 S,07 E,08,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
49043108301010000,669480,MOUNTAIN SKY GUEST RANCH,40.21,Park,MAIL TO YANCEY ARTEBURN,PO BOX 1219,,EMIGRANT,MT,59027-1219,,,"S08, T06 S, R07 E, C.O.S. 2218, PARCEL SW4SW4",06 S,07 E,08,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Punctuation/suffix variant of Mountain Sky Guest Ranch at the identical PO Box 1219 Emigrant ranch-management address.
49043118101100000,668985,MOUNTAIN SKY GUEST RANCH LLC,40.0,Park,MAIL TO:  YANCEY ARTEBURN,PO BOX 1219,,EMIGRANT,MT,59027-1219,,,"S18, T06 S, R07 E, C.O.S. 415, PARCEL 1 & 3",06 S,07 E,18,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
49043115101030000,669856,MOUNTAIN SKY GUEST RANCH LLC,27.95,Park,MAIL TO: YANCEY ARTEBURN,PO BOX 1219,,EMIGRANT,MT,59027-1219,,,"GLASTONBURY SOUTH, S15, T06 S, R07 E, Lot 013",06 S,07 E,15,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
49043114150100000,669862,MOUNTAIN SKY GUEST RANCH LLC,26.137,Park,MAIL TO: YANCEY ARTEBURN,PO BOX 1219,,EMIGRANT,MT,59027-1219,,,"GLASTONBURY SOUTH, S14, T06 S, R07 E, Lot 03A, COS 1642",06 S,07 E,14,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
49043123201050000,668984,MOUNTAIN SKY GUEST RANCH LLC,24.9,Park,MAIL TO: YANCEY ARTEBURN,PO BOX 1219,,EMIGRANT,MT,59027-1219,,,"S23, T06 S, R07 E, C.O.S. 593, POR E2NW4",06 S,07 E,23,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
49043114201040000,669851,MOUNTAIN SKY GUEST RANCH LLC,24.87,Park,MAIL TO: YANCEY ARTEBURN,PO BOX 1219,,EMIGRANT,MT,59027-1219,,,"GLASTONBURY SOUTH, S14, T06 S, R07 E, Lot 011",06 S,07 E,14,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
49043114101040000,669847,MOUNTAIN SKY GUEST RANCH LLC,23.99,Park,MAIL TO: YANCEY ARTEBURN,PO BOX 1219,,EMIGRANT,MT,59027-1219,,,"GLASTONBURY SOUTH, S14, T06 S, R07 E, Lot 004",06 S,07 E,14,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
49043114190100000,669861,MOUNTAIN SKY GUEST RANCH LLC,23.856,Park,MAIL TO: YANCEY ARTEBURN,PO BOX 1219,,EMIGRANT,MT,59027-1219,,,"GLASTONBURY SOUTH, S14, T06 S, R07 E, Lot 01A, COS 1642",06 S,07 E,14,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
49043114201030000,669850,MOUNTAIN SKY GUEST RANCH LLC,21.25,Park,MAIL TO: YANCEY ARTEBURN,PO BOX 1219,,EMIGRANT,MT,59027-1219,,,"GLASTONBURY SOUTH, S14, T06 S, R07 E, Lot 007",06 S,07 E,14,ARTHUR BLANK / AMB WEST,Mountain Sky Guest Ranch,Official AMB West page says Arthur Blank purchased Mountain Sky in 2001; current Montana Water Court records also jointly identify Arthur M. Blank and Mountain Sky Guest Ranch LLC.
